x,i,t,m,s
-4.0,2.8676980589169e-19,3.312542162755613e-23,3.4077507049141517e-72,3.124892799396225e-72
-3.9799599198396796,4.499468741349257e-19,7.413831536379853e-23,9.28147187719359e-72,8.511379104756061e-72
-3.9599198396793587,5.813753142307134e-19,1.4993920461095213e-22,2.5279012314577303e-71,2.318273902988402e-71
-3.9398797595190382,7.511936973597084e-19,2.841032997278999e-22,6.8849569532357595e-71,6.314363187360438e-71
-3.9198396793587174,9.706156369911412e-19,5.13360462121012e-22,1.8751740476607998e-70,1.7198650431465068e-70
-3.899799599198397,1.2541302171236698e-18,8.93565756869531e-22,5.107185823914379e-70,4.6844561816746656e-70
-3.879759519038076,1.6204587496431464e-18,1.507766928882095e-21,1.3909824143170844e-69,1.2759216082375722e-69
-3.8597194388777556,2.093790998288351e-18,2.4768725685507804e-21,3.7884502566925634e-69,3.475272021405706e-69
-3.8396793587174347,2.705382500775644e-18,3.973481983960505e-21,1.0318142796675988e-68,9.465719167063844e-69
-3.8196392785571143,3.4956184650169974e-18,6.239499262556205e-21,2.8102275214093925e-68,2.5782108219971223e-68
-3.799599198396794,4.516680524644493e-18,9.608233505222922e-21,7.653876295136776e-68,7.022362406220422e-68
-3.779559118236473,5.835992447649661e-18,1.453180846195842e-20,2.0845936161453315e-67,1.9127052506164652e-67
-3.7595190380761525,7.540672328535727e-18,2.161490285464192e-20,5.677555357450387e-67,5.209701755772464e-67
-3.7394789579158316,9.743285255491516e-18,3.1656164143690975e-20,1.5463270772643446e-66,1.418984570432442e-66
-3.719438877755511,1.2589276318324313e-17,4.5699140160326746e-20,4.211544110201574e-66,3.8649375828363494e-66
-3.6993987975951903,1.626657478080023e-17,6.509531903118458e-20,1.14704737749723e-65,1.0527064797236383e-65
-3.67935871743487,2.1018003609486548e-17,9.158292609864126e-20,3.1240744044439622e-65,2.8672932193613216e-65
-3.659318637274549,2.7157313797236473e-17,1.2738656569168443e-19,8.508664329839351e-65,7.809746177257313e-65
-3.6392785571142285,3.508990227543044e-17,1.7534468396313598e-19,2.3174022432702634e-64,2.1271677044166337e-64
-3.6192384769539077,4.533958148042699e-17,2.3907423775499134e-19,6.311629031759314e-64,5.793840593552402e-64
-3.599198396793587,5.858316824836519e-17,3.231849663920531e-19,1.7190223265121957e-63,1.5780884955049132e-63
-3.579158316633267,7.569517604607234e-17,4.3355938831858575e-19,4.681894029383297e-63,4.2982944722646816e-63
-3.559118236472946,9.780556169913307e-17,5.777192416212113e-19,1.2751511064697053e-62,1.1707414015708306e-62
-3.5390781563126255,1.2637433980548894e-16,7.6530479261525e-19,3.472975621736862e-62,3.188789037596675e-62
-3.5190380761523046,1.632879918465293e-16,1.008700594122907e-18,9.458926000945366e-62,8.685415509055589e-62
-3.498997995991984,2.109840361762597e-16,1.3238503712076642e-18,2.5762139726404813e-61,2.3656768031854064e-61
-3.4789579158316633,2.726119846158879e-16,1.7313154100945683e-18,7.016524489223617e-61,6.443476113830825e-61
-3.458917835671343,3.522413140969923e-16,2.2576460022075287e-18,1.9110065244676678e-60,1.7550319795841806e-60
-3.438877755511022,4.55130186340109e-16,2.9371552807285885e-18,5.204779134225061e-60,4.780241588467617e-60
-3.4188376753507015,5.880726599292208e-16,3.814210619433114e-18,1.4175632659469394e-59,1.3020110123309277e-59
-3.3987975951903806,7.598473222292444e-16,4.946191457629282e-18,3.860847138233106e-59,3.5463326379168406e-59
-3.37875751503006,9.817969656478235e-16,6.407306262349877e-18,1.0515326795508679e-58,9.659269437544324e-59
-3.3587174348697397,1.2685775859909643e-15,8.293518247032703e-18,2.863933650230346e-58,2.6309287817367494e-58
-3.338677354709419,1.6391261615040597e-15,1.0728903149414546e-17,7.800153355422864e-58,7.165952145062612e-58
-3.318637274549098,2.1179111179300333e-15,1.3873857607500967e-17,2.1244344783654006e-57,1.9518152867456575e-57
-3.2985971943887775,2.7365480515152273e-15,1.793569963529209e-17,5.786068249778766e-57,5.316227120214262e-57
-3.278557114228457,3.535887400964562e-15,2.3182361390685157e-17,1.5758822870468836e-56,1.4479992541109675e-56
-3.258517034068136,4.568711923541027e-15,2.996007922490596e-17,4.292042435457855e-56,3.9439658850044445e-56
-3.2384769539078158,5.903222097686487e-15,3.871625036245863e-17,1.1689723841347541e-55,1.0742316930010291e-55
-3.218436873747495,7.627539603680105e-15,5.002896691364925e-17,3.183790679544159e-55,2.925922190745771e-55
-3.1983967935871744,9.855526260566696e-15,6.464517882232721e-17,8.671311223610043e-55,7.96943594391804e-55
-3.1783567134268536,1.2734302661091318e-14,8.353000695790435e-17,2.36170175330432e-54,2.1706629610689234e-54
-3.158316633266533,1.645396298248499e-14,1.0793046354678475e-16,6.432285930067639e-54,5.912310135514973e-54
-3.1382765531062127,2.1260127470991598e-14,1.394577881679987e-16,1.7518851954340643e-53,1.6103564563196973e-53
-3.118236472945892,2.7470161478055752e-14,1.8019383646553092e-16,4.771401415580046e-53,4.386183838417173e-53
-3.098196392785571,3.549413203942875e-14,2.3282854674485096e-16,1.2995299083017516e-52,1.1946801336369922e-52
-3.0781563126252505,4.586188582250519e-14,3.008375616046826e-16,3.539375291581415e-52,3.2539917939735025e-52
-3.05811623246493,5.925803647938352e-14,3.8871173320861905e-16,9.639776437946399e-52,8.863010522333195e-52
-3.038076152304609,7.656717172473624e-14,5.022536667976321e-16,2.6254715767401438e-51,2.414048974077716e-51
-3.0180360721442887,9.89322652964503e-14,6.489608837953819e-16,7.150685735202123e-51,6.575229076577252e-51
-2.9979959919839683,1.2783015091473317e-13,8.385209056550911e-16,1.9475475691199622e-50,1.790917991876494e-50
-2.9779559118236474,1.6516904200989608e-13,1.0834509501167186e-15,5.304304758637394e-50,4.877985567153207e-50
-2.9579158316633265,2.1341453673683098e-13,1.3999244807919807e-15,1.4446707329619704e-49,1.3286338794566113e-49
-2.937875751503006,2.7575242876244515e-13,1.8088391895280874e-15,3.934678867271489e-49,3.618846266226438e-49
-2.9178356713426856,3.562990747071523e-13,2.3371969335662855e-15,1.0716419916051938e-48,9.856777326751093e-49
-2.8977955911823647,4.603732094288654e-13,3.0198867488414272e-15,2.918704749856451e-48,2.6847246918412094e-48
-2.877755511022044,5.948471579221477e-13,3.901988677103922e-15,7.949331698269825e-48,7.312477934771275e-48
-2.8577154308617234,7.686006353997425e-13,5.0417505354386045e-15,2.1650657268624377e-47,1.991725025251767e-47
-2.837675350701403,9.931071013273685e-13,6.514434193150981e-15,5.896734355071408e-47,5.424930661808897e-47
-2.817635270541082,1.2831913861142264e-12,8.417285337146569e-15,1.6060240849434734e-46,1.4776072154696726e-46
-2.7975951903807617,1.6580086188055085e-12,1.0875954894219533e-14,4.3741387666269894e-46,4.0246101182056565e-46
-2.777555110220441,2.1423090972873798e-12,1.405279613589377e-14,1.1913327246126697e-45,1.0961970430291013e-45
-2.7575150300601203,2.7680726241500508e-12,1.8157585348358288e-14,3.244692902057388e-45,2.985749977892344e-45
-2.7374749498997994,3.5766202282718942e-12,2.3461373985254382e-14,8.837188897601314e-45,8.132390966728335e-45
-2.717434869739479,4.621342715389028e-12,3.0314387002214223e-14,2.40688139651875e-44,2.215047586885007e-44
-2.6973947895791586,5.971226221968178e-12,3.916914925347152e-14,6.555340492703948e-44,6.033202083173957e-44
-2.6773547094188377,7.715407575202869e-12,5.061036705537464e-14,1.785401236105602e-43,1.643284216191668e-43
-2.657314629258517,9.969060263115741e-12,6.539353808540384e-14,4.862688168396991e-43,4.475870322188936e-43
-2.6372745490981964,1.2880999682900036e-11,8.449483914329742e-14,1.3243934430746516e-42,1.219108352873929e-42
-2.617234468937876,1.6643509864691253e-11,1.0917558601168743e-13,3.60709546228898e-42,3.3205277835666335e-42
-2.597194388777555,2.1505040558600313e-11,1.4106552189277947e-13,9.824224152252012e-42,9.044236909250765e-42
-2.5771543086172346,2.778661311146528e-11,1.8227043420450584e-13,2.67570914057345e-41,2.46341023482692e-41
-2.557114228456914,3.5903018462222107e-11,2.3551120599370085e-13,7.28751655319707e-41,6.709676057737018e-41
-2.5370741482965933,4.639020702263258e-11,3.043034839450507e-13,1.984815847747194e-40,1.8275377833255342e-40
-2.5170340681362724,5.994067907875637e-11,3.9318982699945615e-13,5.405811480317916e-40,4.977728165626036e-40
-2.496993987975952,7.744921264674473e-11,5.080396650462735e-13,1.4723178802826146e-39,1.3558011175987032e-39
-2.4769539078156315,1.000719483294383e-10,6.564368748550772e-13,4.009980762677876e-39,3.692842616789904e-39
-2.4569138276553106,1.2930273272275489e-10,8.481805660395807e-13,1.0921517972326678e-38,1.0058323758084062e-38
-2.4368737474949898,1.6707176155432105e-10,1.0959321454420973e-12,2.974566847054388e-38,2.739620593698174e-38
