f,S
0,0.006011193654002128
0.666666666666666,0.0002069896824835233
1.33333333333333,7.73550882392774e-05
2,5.766582214288482e-05
2.66666666666667,6.189347364142537e-05
3.33333333333333,3.635860350515229e-05
4,4.934660449636339e-05
4.66666666666667,6.087767664818881e-05
5.33333333333333,4.943481738714029e-05
6,5.084281997790694e-05
6.66666666666666,5.156282026773646e-05
7.33333333333333,6.404542593074014e-05
8,4.057693900315407e-05
8.66666666666666,5.629132727572916e-05
9.33333333333333,5.486249178746248e-05
10,2.726221543985695e-05
10.6666666666667,6.271222313587775e-05
11.3333333333333,5.754967035991936e-05
12,3.599225208277615e-05
12.6666666666667,5.565503779984185e-05
13.3333333333333,4.421719868617247e-05
14,8.05854299566658e-05
14.6666666666667,5.194737573088338e-05
15.3333333333333,6.4629453887352e-05
16,4.746955942967928e-05
16.6666666666667,7.23842709539609e-05
17.3333333333333,6.0253719224215e-05
18,6.061212062621475e-05
18.6666666666667,7.27717958310912e-05
19.3333333333333,5.396585274327905e-05
20,5.335288227334992e-05
20.6666666666667,6.549186483833139e-05
21.3333333333333,4.061468253429688e-05
22,5.036167200189837e-05
22.6666666666667,6.324320567161078e-05
23.3333333333333,4.570463174734738e-05
24,6.948748491432779e-05
24.6666666666667,4.119548169874082e-05
25.3333333333333,4.494367128204459e-05
26,4.929947826766886e-05
26.6666666666667,5.992463712739392e-05
27.3333333333333,4.103635777845828e-05
28,6.771648180312097e-05
28.6666666666667,5.370347622336566e-05
29.3333333333333,6.208716084740295e-05
30,4.136620985906938e-05
30.6666666666667,5.656001906716446e-05
31.3333333333333,5.345375058685194e-05
32,3.78076853917381e-05
32.6666666666667,3.92822745699487e-05
33.3333333333333,5.225551703759722e-05
34,6.070512446663691e-05
34.6666666666667,4.486653342122567e-05
35.3333333333333,5.37306368208248e-05
36,6.986734721626359e-05
36.6666666666667,4.409113324295505e-05
37.3333333333333,4.821341907954438e-05
38,5.754662935320095e-05
38.6666666666667,3.480075329914744e-05
39.3333333333333,5.18445508407171e-05
40,5.968846976477997e-05
40.6666666666667,5.872540309700752e-05
41.3333333333333,5.950818006967977e-05
42,3.739391208320841e-05
42.6666666666667,4.907714142434292e-05
43.3333333333333,7.330239305297275e-05
44,6.019416764615066e-05
44.6666666666667,6.635103829716659e-05
45.3333333333333,3.974559692621369e-05
46,4.193986838597771e-05
46.6666666666667,5.683987496513002e-05
47.3333333333333,4.000153064934994e-05
48,4.963147144938353e-05
48.6666666666667,4.435602100088734e-05
49.3333333333333,5.051046856407522e-05
50,5.175103479655682e-05
50.6666666666667,5.044293352216742e-05
51.3333333333333,5.040356448945957e-05
52,4.995289205666921e-05
52.6666666666666,4.33382987758693e-05
53.3333333333333,4.089902261303381e-05
54,5.933148939352159e-05
54.6666666666666,5.201870626224653e-05
55.3333333333333,4.082877266945548e-05
56,6.787253667967481e-05
56.6666666666666,5.619589520354284e-05
57.3333333333333,5.122598168034971e-05
58,5.265400420515085e-05
58.6666666666666,5.004494551049502e-05
59.3333333333333,3.933039356447096e-05
60,0.000105702711107667
60.6666666666666,6.553381892451027e-05
61.3333333333333,4.903870491016601e-05
62,6.1637252557427e-05
62.6666666666666,4.518463978879527e-05
63.3333333333333,5.348270082514299e-05
64,3.250635581388961e-05
64.6666666666666,6.160143539645955e-05
65.3333333333333,4.830135972620274e-05
66,5.069006481470306e-05
66.6666666666666,4.396084488690961e-05
67.3333333333333,6.415047282782243e-05
68,4.602443925286708e-05
68.6666666666666,6.060252481375718e-05
69.3333333333333,5.804731201070352e-05
70,8.001186924135158e-05
70.6666666666666,7.076102002567705e-05
71.3333333333333,3.929106988733764e-05
72,6.72235610590362e-05
72.6666666666666,4.18424508473419e-05
73.3333333333333,7.012774791706124e-05
74,5.668208643365963e-05
74.6666666666666,5.352557646901074e-05
75.3333333333333,6.096249333779414e-05
76,8.108722332289855e-05
76.6666666666666,7.000098730820986e-05
77.3333333333333,7.75318006240882e-05
78,4.972658426547386e-05
78.6666666666666,6.302318381012921e-05
79.3333333333333,5.182543124648177e-05
80,5.67914199851394e-05
80.6666666666666,5.256851152762952e-05
81.3333333333333,4.042665657379815e-05
82,4.159979986408932e-05
82.6666666666666,5.960205376888053e-05
83.3333333333333,6.303709857631771e-05
84,5.556237691115737e-05
84.6666666666666,4.284521234895345e-05
85.3333333333333,6.889976390295124e-05
86,6.09770062773929e-05
86.6666666666666,6.759827552496603e-05
87.3333333333333,7.830252374949559e-05
88,3.879669434216201e-05
88.6666666666666,3.535003891496618e-05
89.3333333333333,6.814033759115326e-05
90,5.562920828682255e-05
90.6666666666666,6.193293535157842e-05
91.3333333333333,4.104630539911396e-05
92,4.595091034937284e-05
92.6666666666666,5.286287649124253e-05
93.3333333333333,3.718913579532169e-05
94,7.865768323315655e-05
94.6666666666666,5.272100286232572e-05
95.3333333333333,4.509710372971925e-05
96,5.279643688075033e-05
96.6666666666666,8.38356821368813e-05
97.3333333333333,4.173932516412813e-05
98,6.420669999135264e-05
98.6666666666666,6.11889179909429e-05
99.3333333333333,6.64934250040089e-05
100,3.785003672063937e-05
100.666666666667,3.892518081849852e-05
101.333333333333,5.280119515447958e-05
102,5.247253376542722e-05
102.666666666667,6.6090963029205e-05
103.333333333333,4.346671386523761e-05
104,3.735860760425837e-05
104.666666666667,5.058531365207268e-05
105.333333333333,6.312110886083794e-05
106,6.786080223037449e-05
106.666666666667,5.143538921818895e-05
107.333333333333,5.112334681349491e-05
108,4.542035923284932e-05
108.666666666667,4.674012035594253e-05
109.333333333333,5.107983488600536e-05
110,5.791866215052873e-05
110.666666666667,3.833959985645781e-05
111.333333333333,4.48083439987153e-05
112,5.362363000175295e-05
112.666666666667,5.854796714380735e-05
113.333333333333,4.716899898578292e-05
114,6.336068679917418e-05
114.666666666667,3.078073818080434e-05
115.333333333333,4.235614674573318e-05
116,7.270015209046581e-05
116.666666666667,3.371888726589138e-05
117.333333333333,6.305168973582746e-05
118,4.254202314465381e-05
118.666666666667,4.250252367841899e-05
119.333333333333,5.013889550301098e-05
120,5.00116083935861e-05
120.666666666667,4.684498886213888e-05
121.333333333333,7.16183468600915e-05
122,3.101740689546957e-05
122.666666666667,5.564390734410385e-05
123.333333333333,4.999260059489231e-05
124,5.435442180101979e-05
124.666666666667,5.021605975602924e-05
125.333333333333,4.457828435206886e-05
126,4.606477558235939e-05
126.666666666667,3.291620441975771e-05
127.333333333333,5.162414771081817e-05
128,4.710436070394519e-05
128.666666666667,2.986929126916786e-05
129.333333333333,4.563537753600278e-05
130,4.56850008406518e-05
130.666666666667,4.047920347716675e-05
131.333333333333,5.870389439849564e-05
132,4.471038433287923e-05
132.666666666667,4.589341557855614e-05
133.333333333333,4.257537251364151e-05
134,5.274803446712343e-05
134.666666666667,6.376302600024183e-05
135.333333333333,4.591686806450073e-05
136,5.538340024977967e-05
136.666666666667,3.074438667493576e-05
137.333333333333,7.239835268750551e-05
138,5.985704628989656e-05
138.666666666667,5.323417726784195e-05
139.333333333333,3.64551106535879e-05
140,3.236704323634807e-05
140.666666666667,4.62698974726176e-05
141.333333333333,5.146423126708117e-05
142,4.487796385138461e-05
142.666666666667,3.821696279646616e-05
143.333333333333,5.132349456660903e-05
144,4.156085230426123e-05
144.666666666667,4.335400765706983e-05
145.333333333333,5.748772805089805e-05
146,5.499390426433901e-05
146.666666666667,5.988074724160247e-05
147.333333333333,6.676784334576426e-05
148,2.206803957019907e-05
148.666666666667,4.18245054788388e-05
149.333333333333,5.118682543866215e-05
150,3.956600989369145e-05
150.666666666667,5.131700252903706e-05
151.333333333333,3.756477536192964e-05
152,3.133394486568939e-05
152.666666666667,4.240713066826112e-05
