f,S
0,0.003555076547589816
0.666666666666666,0.0001302444724586312
1.33333333333333,7.670346639994665e-05
2,7.129842108205842e-05
2.66666666666667,7.419424627759161e-05
3.33333333333333,7.528311329417152e-05
4,5.817276756095361e-05
4.66666666666667,4.070195270909493e-05
5.33333333333333,5.837774866718075e-05
6,8.004692265995317e-05
6.66666666666666,6.088184617462713e-05
7.33333333333333,6.278485715191321e-05
8,4.395658542915067e-05
8.66666666666666,6.500104157005097e-05
9.33333333333333,3.732353829338309e-05
10,3.939473325821906e-05
10.6666666666667,4.368988734307947e-05
11.3333333333333,6.528228548727106e-05
12,7.659727192330069e-05
12.6666666666667,5.318280300560799e-05
13.3333333333333,5.986887283993437e-05
14,3.637932536176413e-05
14.6666666666667,5.003427016419844e-05
15.3333333333333,5.558792276712573e-05
16,5.731050133442676e-05
16.6666666666667,3.354263484566966e-05
17.3333333333333,7.576056062147369e-05
18,5.304478431633152e-05
18.6666666666667,7.519602668156443e-05
19.3333333333333,6.136710829120338e-05
20,4.450305392860748e-05
20.6666666666667,6.77616188401515e-05
21.3333333333333,8.881251359638947e-05
22,7.002974949157254e-05
22.6666666666667,4.485752863048805e-05
23.3333333333333,6.103484567124084e-05
24,7.803212532528768e-05
24.6666666666667,6.510305197181662e-05
25.3333333333333,6.845791604263031e-05
26,4.241994829998402e-05
26.6666666666667,8.133539519695905e-05
27.3333333333333,5.406494646336171e-05
28,3.615650277492608e-05
28.6666666666667,5.848085242977874e-05
29.3333333333333,6.343164130608703e-05
30,3.773108132269468e-05
30.6666666666667,4.296900918926248e-05
31.3333333333333,5.646048757928584e-05
32,6.014993911503718e-05
32.6666666666667,6.771865830695571e-05
33.3333333333333,5.204379119790076e-05
34,6.292425411794324e-05
34.6666666666667,5.731279021478335e-05
35.3333333333333,6.664341194726427e-05
36,4.407179722387621e-05
36.6666666666667,5.259765230888373e-05
37.3333333333333,5.630216791450661e-05
38,6.653539065872161e-05
38.6666666666667,6.200377733153003e-05
39.3333333333333,7.584281737295061e-05
40,3.760489616651918e-05
40.6666666666667,6.264784733368111e-05
41.3333333333333,6.266225682738407e-05
42,5.108885994702934e-05
42.6666666666667,5.222170615101102e-05
43.3333333333333,6.062155106516622e-05
44,5.873426755900847e-05
44.6666666666667,6.532246896615582e-05
45.3333333333333,5.796217046362238e-05
46,4.98907871058606e-05
46.6666666666667,7.145923706114728e-05
47.3333333333333,6.118907313540154e-05
48,3.395584196473856e-05
48.6666666666667,5.209872476586913e-05
49.3333333333333,6.315551658307937e-05
50,5.005901003605696e-05
50.6666666666667,3.720364198676239e-05
