t,x
0.0,-0.123935
0.001,0.197702
0.002,-0.199934
0.003,0.037185
0.004,-0.167785
0.005,0.038174
0.006,-0.240418
0.007,0.098667
0.008,0.074251
0.009,0.06271
0.01,-0.02546
0.011,-0.332808
0.012,0.119801
0.013,0.365435
0.014,0.055352
0.015,-0.326413
0.016,-0.025872
0.017,-0.111273
0.018,-0.331275
0.019,0.177412
0.02,0.084678
0.021,0.058732
0.022,-0.295576
0.023,0.179938
0.024,0.037587
0.025,-0.073549
0.026,-0.110782
0.027,0.094379
0.028,0.169567
0.029,0.270322
0.03,0.159152
0.031,0.098975
0.032,0.277839
0.033,0.268345
0.034,0.294981
0.035,0.329082
0.036,-0.103727
0.037,-0.16517
0.038,-0.047395
0.039,0.116456
0.04,0.112002
0.041,0.284731
0.042,-0.083069
0.043,0.053422
0.044,-0.394067
0.045,-0.231616
0.046,0.372471
0.047,0.079969
0.048,-0.086681
0.049,0.043699
0.05,0.323869
0.051,-0.094419
0.052,-0.110356
0.053,-0.041744
0.054,0.230321
0.055,0.324236
0.056,0.090847
0.057,0.139414
0.058,0.12498
0.059,-0.268603
0.06,-0.281301
0.061,-0.213592
0.062,0.085329
0.063,0.127786
0.064,-0.041416
0.065,-0.054994
0.066,-0.190425
0.067,0.12263
0.068,0.058803
0.069,0.13531
0.07,-0.060281
0.071,0.156907
0.072,0.030509
0.073,-0.042287
0.074,-0.286857
0.075,-0.178985
0.076,-0.18882
0.077,-0.057009
0.078,0.185044
0.079,0.158527
0.08,-0.063634
0.081,-0.24004
0.082,0.045159
0.083,0.025591
0.084,0.145699
0.085,0.224478
0.086,0.327153
0.087,0.299011
0.088,0.023836
0.089,0.227156
0.09,-0.134446
0.091,0.071077
0.092,-0.186993
0.093,-0.178048
0.094,-0.104299
0.095,0.371263
0.096,0.45192
0.097,0.079541
0.098,0.26045
0.099,0.073415
0.1,0.188621
0.101,-0.02977
0.102,-0.053316
0.103,-0.020119
0.104,-0.087712
0.105,-0.253339
0.106,0.109101
0.107,-0.038807
0.108,0.114799
0.109,0.177869
0.11,0.040253
0.111,-0.039458
0.112,-0.097882
0.113,0.289917
0.114,0.031307
0.115,-0.43452
0.116,0.058568
0.117,-0.16231
0.118,0.264895
0.119,0.218338
0.12,-0.142882
0.121,-0.06946
0.122,0.212627
0.123,-0.215361
0.124,-0.155817
0.125,0.090081
0.126,0.108117
0.127,0.081475
0.128,-0.201725
0.129,-0.121725
0.13,0.143992
0.131,-0.174838
0.132,-0.229591
0.133,0.188244
0.134,0.42038
0.135,0.090557
0.136,0.245838
0.137,0.243825
0.138,0.071768
0.139,-0.400518
0.14,0.134964
0.141,-0.096284
0.142,-0.232889
0.143,-0.289242
0.144,0.077212
0.145,-0.087262
0.146,-0.032446
0.147,-0.118586
0.148,0.221897
0.149,-0.218943
0.15,0.229141
0.151,-0.025411
0.152,-0.210564
0.153,-0.18156
0.154,0.121179
0.155,0.028307
0.156,0.189736
0.157,-0.212622
0.158,0.072935
0.159,-0.191012
0.16,0.107455
0.161,-0.119585
0.162,-0.132672
0.163,0.083805
0.164,-0.154936
0.165,-0.163962
0.166,-0.020647
0.167,-0.162953
0.168,0.424935
0.169,0.160622
0.17,-0.006182
0.171,-0.308359
0.172,0.097721
0.173,0.151691
0.174,-0.115248
0.175,0.087246
0.176,0.005192
0.177,-0.117621
0.178,-0.113135
0.179,-0.110723
0.18,-0.028647
0.181,-0.021801
0.182,0.055971
0.183,-0.12789
0.184,-0.243887
0.185,0.472875
0.186,-0.030414
0.187,0.328706
0.188,-0.335387
0.189,-0.150137
0.19,-0.303611
0.191,0.019636
0.192,-0.024559
0.193,0.003578
0.194,0.216473
0.195,0.105556
0.196,-0.249788
0.197,-0.028398
0.198,-0.036619
0.199,-0.505924
0.2,0.003534
0.201,0.160892
0.202,-0.148016
0.203,0.102635
0.204,0.028958
0.205,-0.105742
0.206,-0.298232
0.207,0.077508
0.208,0.29542
0.209,-0.14441
0.21,0.006355
0.211,-0.231919
0.212,0.093362
0.213,-0.179633
0.214,0.006548
0.215,0.028789
0.216,-0.060078
0.217,-0.07084
0.218,0.226397
0.219,-0.174917
0.22,-0.069652
0.221,-0.338663
0.222,-0.059189
0.223,0.163091
0.224,-0.055879
0.225,-0.057061
0.226,-0.25495
0.227,-0.079833
0.228,0.07166
0.229,0.142492
0.23,0.015885
0.231,0.068785
0.232,0.344753
0.233,0.079232
0.234,0.171831
0.235,0.128123
0.236,0.010835
0.237,-0.154751
0.238,0.069599
0.239,-0.026405
0.24,0.162354
0.241,-0.002003
0.242,0.007504
0.243,-0.294798
0.244,0.322986
0.245,-0.214966
0.246,-0.115439
0.247,0.314872
0.248,0.255625
0.249,-0.083693
0.25,-0.177586
0.251,-0.27805
0.252,-0.018151
0.253,0.069775
0.254,0.242863
0.255,-0.266811
0.256,0.449942
0.257,0.082077
0.258,-0.240488
0.259,-0.006827
0.26,0.017552
0.261,-0.066181
0.262,-0.155646
0.263,-0.198331
0.264,-0.01326
0.265,0.078799
0.266,-0.046009
0.267,-0.167292
0.268,-0.078526
0.269,-0.290995
0.27,-0.011154
0.271,0.024624
0.272,0.047024
0.273,0.043119
0.274,0.025491
0.275,0.054993
0.276,-0.047032
0.277,-0.35904
0.278,-0.115383
0.279,0.244114
0.28,0.119085
0.281,0.303306
0.282,0.277081
0.283,0.009695
0.284,-0.05862
0.285,0.085668
0.286,0.16486
0.287,-0.047304
0.288,0.079359
0.289,0.074501
0.29,-0.175978
0.291,0.222819
0.292,-0.134367
0.293,0.006888
0.294,0.012801
0.295,-0.126263
0.296,-0.140037
0.297,0.041928
0.298,-0.052786
0.299,-0.007902
0.3,0.064777
0.301,-0.325357
0.302,0.509998
0.303,0.503384
0.304,0.115294
0.305,-0.009473
0.306,0.009036
0.307,-0.156516
0.308,0.311143
0.309,0.089522
0.31,0.106718
0.311,-0.011481
0.312,-0.254337
0.313,-0.026067
0.314,0.212832
0.315,0.280576
0.316,0.039826
0.317,-0.051707
0.318,0.252708
0.319,0.232435
0.32,-0.048615
0.321,-0.006417
0.322,0.025671
0.323,-0.21477
0.324,-0.263126
0.325,-0.131923
0.326,-0.27486
0.327,0.077455
0.328,-0.057296
0.329,0.092493
0.33,0.027134
0.331,-0.03636
0.332,0.169654
0.333,0.439755
0.334,0.025146
0.335,0.066501
