t,x
0.0,-0.636456
0.001,-0.395227
0.002,-0.566214
0.003,-0.299091
0.004,-0.66528
0.005,-0.360259
0.006,-0.639204
0.007,-0.373159
0.008,-0.280451
0.009,-0.215179
0.01,-0.236487
0.011,-0.371938
0.012,-0.507544
0.013,-0.035802
0.014,-0.384846
0.015,-0.235119
0.016,-0.34689
0.017,-0.597819
0.018,-0.949813
0.019,-0.344568
0.02,-0.274042
0.021,-0.609415
0.022,-0.334016
0.023,-0.435928
0.024,-0.27391
0.025,-0.36415
0.026,-0.33735
0.027,-1.042886
0.028,-0.467796
0.029,-0.634057
0.03,-0.365803
0.031,-0.499248
0.032,-0.428493
0.033,-0.359793
0.034,-0.555444
0.035,-0.805914
0.036,-0.423069
0.037,-0.356067
0.038,-0.625338
0.039,-0.636872
0.04,-0.408956
0.041,-0.747977
0.042,-0.511051
0.043,-0.531369
0.044,-0.479082
0.045,-0.656986
0.046,-0.588155
0.047,-0.766972
0.048,-0.583203
0.049,-0.454482
0.05,-0.120517
0.051,-0.645738
0.052,-0.35784
0.053,-0.29558
0.054,-0.524536
0.055,-0.549587
0.056,-0.216313
0.057,-0.207522
0.058,-0.308118
0.059,-0.556731
0.06,-0.362933
0.061,-0.740689
0.062,-0.545705
0.063,-0.447885
0.064,-0.348279
0.065,-0.560405
0.066,-0.648998
0.067,-0.538225
0.068,-0.278942
0.069,-0.602471
0.07,-0.490176
0.071,-0.470362
0.072,-0.589074
0.073,-0.365771
0.074,-0.256928
0.075,-0.362021
0.076,-0.501807
0.077,-0.642876
0.078,-0.295758
0.079,-0.500663
0.08,-0.365816
0.081,-0.685929
0.082,-0.647356
0.083,-0.669506
0.084,-0.372447
0.085,-0.37291
0.086,-0.389493
0.087,-0.032407
0.088,-0.359957
0.089,-0.631775
0.09,0.020261
0.091,-0.572005
0.092,-0.323082
0.093,-0.301487
0.094,-0.528832
0.095,-0.336053
0.096,-0.446609
0.097,-0.686401
0.098,-0.386279
0.099,-0.556002
0.1,-0.47922
0.101,-0.44359
0.102,-0.460211
0.103,-0.406522
0.104,-0.024513
0.105,-0.576416
0.106,-0.510962
0.107,-0.488112
0.108,-0.684834
0.109,-0.454954
0.11,-0.765555
0.111,-0.593437
0.112,-0.257274
0.113,-0.730213
0.114,-0.404954
0.115,-0.273228
0.116,-0.602435
0.117,-0.73441
0.118,-0.467168
0.119,-0.005742
0.12,-0.435413
0.121,-0.392034
0.122,-0.294304
0.123,-0.634319
0.124,-0.416098
0.125,-0.256349
0.126,-0.296499
0.127,-0.427294
0.128,-0.499675
0.129,-0.235122
0.13,-0.370738
0.131,-0.666917
0.132,-0.580621
0.133,-0.234873
0.134,-0.308497
0.135,-0.546794
0.136,-0.575197
0.137,-0.497908
0.138,-0.584167
0.139,-0.435742
0.14,-0.749712
0.141,-0.389477
0.142,-0.274847
0.143,-0.340064
0.144,-0.38332
0.145,-0.132975
0.146,-0.394999
0.147,-0.662396
0.148,-0.596916
0.149,-0.43446
0.15,-0.766394
0.151,-0.564787
0.152,-0.735865
0.153,-0.53189
0.154,-0.2596
0.155,-0.792832
0.156,-0.306339
0.157,-0.345279
0.158,-0.384899
0.159,-0.618724
0.16,-0.319243
0.161,-0.282077
0.162,-0.645326
0.163,-0.327909
0.164,-0.599531
0.165,-0.547725
0.166,-0.201468
0.167,-0.196644
0.168,-0.633245
0.169,-0.282887
0.17,-0.365507
0.171,-0.440497
0.172,-0.537449
0.173,-0.63598
0.174,-0.950835
0.175,-0.460751
0.176,-0.604953
0.177,-0.503383
0.178,-0.148451
0.179,-0.596208
0.18,-0.482509
0.181,-0.708213
0.182,-0.298034
0.183,-0.497289
0.184,-0.373199
0.185,-0.281277
0.186,-0.357469
0.187,-0.432294
0.188,-0.25284
0.189,-0.405358
0.19,-0.219109
0.191,-0.271521
0.192,-0.324659
0.193,-0.548782
0.194,-0.20699
0.195,-0.600042
0.196,-0.35634
0.197,-0.394459
0.198,-0.832061
0.199,-0.851572
0.2,-0.31833
0.201,-0.622976
0.202,-0.464153
0.203,-0.384154
0.204,-0.604047
0.205,-0.432823
0.206,-0.515428
0.207,-0.651722
0.208,-0.636925
0.209,0.055805
