x,p,pconv
-5.0,6.027132870327893e-94,1.6173045048422418e-88
-4.98998998998999,9.94203691406079e-94,2.667819488598067e-88
-4.97997997997998,1.6399853815595873e-93,4.4006929709731e-88
-4.96996996996997,2.7052324136166684e-93,7.259148635491527e-88
-4.95995995995996,4.462407100679613e-93,1.19743046304702e-87
-4.94994994994995,7.360948742135511e-93,1.9752174457994332e-87
-4.93993993993994,1.2142228434536123e-92,3.2582133666305604e-87
-4.92992992992993,2.0029172396285543e-92,5.374575005288299e-87
-4.91991991991992,3.3039054490120274e-92,8.865612282798464e-87
-4.90990990990991,5.449946208479251e-92,1.46242411731029e-86
-4.8998998998999,8.989940582046625e-92,2.4123368241441626e-86
-4.88988988988989,1.4829326488211014e-91,3.979262159753399e-86
-4.87987987987988,2.4461666024036492e-91,6.563978618226902e-86
-4.86986986986987,4.035065956280581e-91,1.0827589027117065e-85
-4.85985985985986,6.65602958340459e-91,1.7860613349553654e-85
-4.84984984984985,1.097943138852504e-90,2.9461915151717785e-85
-4.83983983983984,1.8111084409223446e-90,4.859880382650252e-85
-4.82982982982983,2.9875078851609015e-90,8.016599468121815e-85
-4.81981981981982,4.928033662828864e-90,1.3223754901766064e-84
-4.80980980980981,8.129021483960303e-90,2.1813200771353977e-84
-4.7997997997998,1.3409200262799209e-89,3.598189254304911e-84
-4.78978978978979,2.21191015477863e-89,5.935381077495019e-84
-4.77977977977978,3.648649014800849e-89,9.790688050365878e-84
-4.76976976976977,6.0186168070371596e-89,1.6150196802531542e-83
-4.75975975975976,9.927989270277163e-89,2.6640503243358762e-83
-4.74974974974975,1.6376681571668288e-88,4.394475322728837e-83
-4.73973973973974,2.7014100438521123e-88,7.248892104501297e-83
-4.72972972972973,4.4561019233895126e-88,1.1957385781852818e-82
-4.71971971971972,7.350548057976633e-88,1.9724265815361073e-82
-4.70970970970971,1.2125072020687972e-87,3.2536096857011906e-82
-4.6996996996997,2.000087209107284e-87,5.36698099994391e-82
-4.68968968968969,3.299237181609312e-87,8.853085599156997e-82
-4.67967967967968,5.442245683562835e-87,1.4603577807862585e-81
-4.66966966966967,8.977238206866697e-87,2.4089283041678016e-81
-4.65965965965966,1.4808373327620464e-86,3.973639645687679e-81
-4.64964964964965,2.442710280790382e-86,6.554704017741927e-81
-4.63963963963964,4.029364592496958e-86,1.0812290139803726e-80
-4.62962962962963,6.646624917800242e-86,1.7835377120135846e-80
-4.61961961961962,1.0963917953760516e-85,2.942028681291381e-80
-4.60960960960961,1.8085494274675049e-85,4.8530135938472205e-80
-4.5995995995996,2.9832866730557474e-85,8.00527237950926e-80
-4.58958958958959,4.921070576486604e-85,1.32050703404956e-79
-4.57957957957958,8.117535548120068e-85,2.1782379715620098e-79
-4.56956956956957,1.3390253675661847e-84,3.5931051773378946e-79
-4.55955955955956,2.2087848268197515e-84,5.926994655296701e-79
-4.54954954954955,3.6434936404952124e-84,9.776854255611498e-79
-4.53953953953954,6.01011277655465e-84,1.6127377312555334e-78
-4.52952952952953,9.913961475172189e-84,2.660286142981441e-78
-4.51951951951952,1.6353542069062807e-83,4.388266129936371e-78
-4.50950950950951,2.697593074921265e-83,7.238649751250119e-78
-4.4994994994995,4.4498056550267606e-83,1.1940490542225418e-77
-4.48948948948949,7.340162069509132e-83,1.9696396329212075e-77
-4.47947947947948,1.2107939848068841e-82,3.2490124839133647e-77
-4.46946946946947,1.997261177289744e-82,5.359397701075398e-77
-4.45945945945946,3.2945755102550843e-82,8.840576593813447e-77
-4.44944944944945,5.434556039136194e-82,1.4582943619839935e-76
-4.43943943943944,8.964553779562624e-82,2.405524598568035e-76
-4.42942942942943,1.4787449772887797e-81,3.96802507447355e-76
-4.41941941941942,2.439258842801591e-81,6.545442520531155e-76
-4.40940940940941,4.0236712844797944e-81,1.079701286798478e-75
-4.3993993993994,6.637233540558763e-81,1.7810176547386271e-75
-4.38938938938939,1.094842643877e-80,2.9378717292227606e-75
-4.37937937937938,1.805994029781723e-80,4.8461565074339365e-75
-4.36936936936937,2.979071425330378e-80,7.993961295497914e-75
-4.35935935935936,4.9141173286672556e-80,1.3186412179609097e-74
-4.34934934934935,8.10606584138201e-80,2.1751602208590963e-74
-4.33933933933934,1.3371333859186203e-79,3.588028283936173e-74
-4.32932932932933,2.2056639148064434e-79,5.918620082727203e-74
-4.31931931931932,3.6383455504979604e-79,9.763040007374941e-74
-4.3093093093093096,6.001620761878385e-79,1.6104590065474042e-73
-4.2992992992992995,9.899953500700595e-79,2.6565272802431213e-73
-4.2892892892892895,1.6330435261516976e-78,4.38206571044948e-73
-4.2792792792792795,2.693781499193148e-78,7.22842186997595e-73
-4.2692692692692695,4.443518283003324e-78,1.192361917479944e-72
-4.2592592592592595,7.329790755968672e-78,1.966856622137332e-72
-4.2492492492492495,1.209083188242664e-77,3.244421777761571e-72
-4.2392392392392395,1.994439138526062e-77,5.351825117061617e-72
-4.2292292292292295,3.2899204256293376e-77,8.828085263122788e-72
-4.2192192192192195,5.426877259825691e-77,1.456233858698201e-71
-4.2092092092092095,8.951887274774618e-77,2.402125702248731e-71
-4.1991991991991995,1.4766555782182123e-76,3.96241843639196e-71
-4.1891891891891895,2.43581228153687e-76,6.536194109392685e-71
-4.1791791791791795,4.0179860208466605e-76,1.0781757182252722e-70
-4.1691691691691695,6.627855432904119e-76,1.77850115818943e-70
-4.1591591591591595,1.0932956812582476e-75,2.933720650737431e-70
-4.1491491491491495,1.8034422427560323e-75,4.8393091097703674e-70
-4.1391391391391394,2.9748621335573977e-75,7.98266619353134e-70
-4.129129129129129,4.907173905469296e-75,1.316778038185122e-69
-4.119119119119119,8.094612340815612e-75,2.1720868188772662e-69
-4.109109109109109,1.3352440775546178e-74,3.5829585639528103e-69
-4.099099099099099,2.2025474124991765e-74,5.910257343045992e-69
-4.089089089089089,3.633204734516594e-74,9.749245278039772e-69
-4.079079079079079,5.993140746030923e-74,1.608183501573144e-68
-4.069069069069069,9.885965318856448e-74,2.6527737286060558e-68
-4.059059059059059,1.6307361102834165e-73,4.375874051871942e-68
